order_number,order_number_source,client_name,property_address,property_name,city,state,year,status,property_type,fee,county,ordered_date,inspection_date,completed_date,appraiser_name,reviewer_name,source_file_path,completion_evidence,extraction_notes,normalized_client_name,confidence,evidence_notes,matched_order_book_order_number,matched_order_book_row,matched_order_book_method,matched_appraiser_log_row
2025113,invoice_no,State Bank & Trust Co.,122 S Fulton Street,,Wauseon,OH,2025,Completed,Retail,1300,,2025-03-14,,2025-03-31,CD,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Retail\122 S Fulton Street, Wauseon, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Revised Complete Report.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 226 via exact_order_number,2025113,226,exact_order_number,
2025117,invoice_no,Union Bank,"126 W North Street, Ada OH & 1130 E Albert Street",,Lima,OH,2025,Completed,Multifamily,3000,,2025-03-17,,2025-04-07,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Apartments\126 W North Street, Ada, OH\Invoice.pdf",Complete Report - 126 W North Street.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Union Bank,High - Order Book validated,validated/enriched from Order Book row 234 via exact_order_number,2025117,234,exact_order_number,
2025118,invoice_no,Farmers & Merchants State Bank,0 E State Road,,Port Clinton,OH,2025,Completed,Land,1200,,2025-03-20,,2025-04-07,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Land\0 E State Road, Port Clinton, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 236 via exact_order_number,2025118,236,exact_order_number,
2025120,invoice_no,State Bank & Trust Co.,700 W Elm Street,,Wauseon,OH,2025,Completed,Special Purpose,1000,,,,2025-03-24,PC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Special\700 W. Elm Street, Wauseon, OH - Daycare\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 240 via exact_order_number,2025120,240,exact_order_number,
2025121,invoice_no,Premier Bank,18135 Range Line Rd & Kellogg Rd,,Bowling Green,OH,2025,Completed,Land,1900,,2025-03-24,,2025-04-11,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Agricultural\18135 Range Line Road & Kellogg Road, Bowling Green, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Revised Complete Report.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 242 via exact_order_number,2025121,242,exact_order_number,
2025122,invoice_no,Genoa Banking Company,1201 Champlain Street,,Toledo,OH,2025,Completed,Office,1200,,2025-03-24,,2025-04-14,MS,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Office\1201 Champlain Street, Toledo, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 244 via exact_order_number,2025122,244,exact_order_number,
2025123,invoice_no,Premier Bank,1122 Buck Road,,Rossford,OH,2025,Completed,Retail,1100,,2025-03-24,,2025-04-19,CR,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Restaurant\1122 Buck Road, Rossford, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 246 via exact_order_number,2025123,246,exact_order_number,
2025124,invoice_no,Premier Bank,1130 Buck Road,,Rossford,OH,2025,Completed,Retail,1700,,2025-03-24,,2025-04-10,CR,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\C-Store, Gas Station\1130 Buck Road, Rossford, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Revised Complete Report (2).pdf; Revised Complete Report (3).pdf; Revised Complete Report.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Premier Bank,High - Order Book validated,validated/enriched from Order Book row 248 via exact_order_number,2025124,248,exact_order_number,
2025125,invoice_no,State Bank & Trust Co.,717 Perry Street,,Defiance,OH,2025,Completed,Office,1300,,2025-03-25,2025-03-31,2025-04-10,MS,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Retail\717 Perry Street, Defiance, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 250 via exact_order_number,2025125,250,exact_order_number,
2025126,invoice_no,Civista Bank,1431 Oakwood Avenue,,Napoleon,OH,2025,Completed,Industrial,1100,,2025-03-25,2025-04-01,2025-04-08,CR,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Industrial (Flex)\1431 Oakwood Avenue, Napoleon, OH - Pole Barn\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Civista Bank,High - Order Book validated,validated/enriched from Order Book row 252 via exact_order_number,2025126,252,exact_order_number,
